iter	Passed	Remaining
401	68502	101902
402	68658	101709
403	68806	101506
404	68961	101313
405	69105	101104
406	69263	100917
407	69417	100723
408	69580	100542
409	69737	100353
410	69894	100164
411	70035	99953
412	70181	99748
413	70349	99577
414	70539	99434
415	70698	99249
416	70849	99053
417	70987	98838
418	71142	98649
419	71294	98454
420	71481	98308
421	71639	98122
422	71809	97952
423	71949	97742
424	72105	97554
425	72277	97388
426	72441	97210
427	72610	97040
428	72780	96870
429	72936	96682
430	73085	96485
431	73257	96320
432	73407	96125
433	73572	95949
434	73736	95773
435	73888	95580
436	74064	95420
437	74234	95250
438	74376	95045
439	74504	94823
440	74685	94669
441	74834	94474
442	75017	94321
443	75164	94125
444	75329	93950
445	75485	93764
446	75659	93600
447	75853	93462
448	76024	93294
449	76188	93119
450	76361	92954
451	76540	92797
452	76708	92626
453	76889	92471
454	77053	92295
455	77215	92116
456	77365	91923
457	77516	91733
458	77675	91552
459	77852	91391
460	78003	91201
461	78152	91008
462	78311	90827
463	78488	90667
464	78668	90510
465	78804	90304
466	78957	90116
467	79108	89926
468	79263	89742
469	79437	89578
470	79609	89413
471	79782	89247
472	79916	89040
473	80094	88881
474	80257	88705
475	80436	88547
476	80608	88381
477	80804	88242
478	80948	88045
479	81093	87851
480	81257	87676
481	81411	87491
482	81562	87304
483	81722	87125
484	81889	86954
485	82065	86793
486	82200	86588
487	82354	86404
488	82528	86240
489	82675	86049
490	82827	85863
491	82985	85683
492	83137	85498
493	83320	85344
494	83487	85174
495	83672	85022
496	83824	84836
497	83975	84649
498	84134	84471
499	84294	84294
500	84484	84147
501	84631	83957
502	84786	83775
503	84954	83605
504	85113	83428
505	85289	83267
506	85456	83096
507	85625	82929
508	85764	82731
509	85910	82541
510	86075	82370
511	86242	82199
512	86397	82018
513	86594	81876
514	86757	81703
515	86932	81541
516	87099	81371
517	87249	81185
518	87389	80990
519	87566	80830
520	87719	80647
521	87876	80469
522	88021	80279
523	88185	80107
524	88351	79936
525	88514	79763
526	88664	79579
527	88827	79406
528	88987	79230
529	89153	79060
530	89299	78872
531	89463	78701
532	89621	78523
533	89771	78339
534	89958	78188
535	90110	78006
536	90286	77844
537	90458	77679
538	90637	77520
539	90815	77361
540	90973	77184
541	91148	77022
542	91312	76850
543	91452	76658
544	91617	76487
545	91794	76327
546	91951	76149
547	92115	75978
548	92281	75808
549	92450	75641
550	92589	75449
551	92741	75268
552	92913	75103
553	93080	74934
554	93235	74756
555	93417	74599
556	93562	74413
557	93703	74224
558	93842	74033
559	93982	73843
560	94140	73667
561	94302	73495
562	94474	73331
563	94623	73148
564	94799	72987
565	94968	72820
566	95114	72636
567	95291	72475
568	95458	72307
569	95606	72124
570	95768	71951
571	95922	71773
572	96098	71612
573	96248	71431
574	96391	71245
575	96553	71073
576	96710	70898
577	96871	70726
578	97033	70554
579	97183	70374
580	97342	70200
581	97514	70036
582	97668	69858
583	97834	69690
584	98001	69522
585	98173	69357
586	98346	69194
587	98497	69015
588	98651	68838
589	98827	68676
590	99035	68537
591	99203	68369
592	99360	68195
593	99507	68013
594	99655	67832
595	99824	67666
596	100001	67505
597	100164	67334
598	100349	67178
599	100503	67002
600	100652	66822
601	100807	66646
602	100954	66465
603	101123	66299
604	101272	66119
605	101445	65956
606	101603	65783
607	101785	65624
608	101920	65436
609	102079	65264
610	102229	65085
611	102386	64911
612	102533	64731
613	102705	64567
614	102877	64403
615	103060	64245
616	103227	64077
617	103381	63902
618	103543	63731
619	103672	63541
620	103847	63378
621	104015	63211
622	104160	63031
623	104306	62851
624	104468	62681
625	104624	62507
626	104798	62344
627	104965	62177
628	105118	62001
629	105293	61838
630	105444	61662
631	105597	61487
632	105772	61324
633	105934	61154
634	106101	60987
635	106246	60807
636	106401	60633
637	106570	60468
638	106714	60287
639	106884	60122
640	107048	59953
641	107215	59786
642	107358	59606
643	107528	59441
644	107689	59271
645	107837	59093
646	107988	58918
647	108146	58746
648	108290	58567
649	108450	58396
650	108615	58228
651	108796	58069
652	108951	57896
653	109138	57739
654	109301	57570
655	109436	57387
656	109601	57219
657	109754	57045
658	109918	56877
659	110069	56702
660	110234	56534
661	110421	56378
662	110564	56199
663	110725	56029
664	110894	55864
665	111050	55692
666	111209	55521
667	111391	55362
668	111562	55197
669	111722	55027
670	111880	54856
671	112046	54689
672	112203	54518
673	112382	54356
674	112527	54179
675	112706	54019
676	112874	53852
677	113026	53679
678	113202	53517
679	113361	53346
680	113521	53176
681	113688	53010
682	113852	52842
683	114022	52677
684	114212	52521
685	114381	52355
686	114537	52183
687	114696	52013
688	114845	51838
689	114992	51663
690	115143	51489
691	115302	51319
692	115479	51157
693	115618	50978
694	115762	50802
695	115922	50632
696	116084	50464
697	116246	50295
698	116420	50132
699	116576	49961
700	116733	49790
701	116872	49612
702	117027	49441
703	117214	49283
704	117370	49112
705	117526	48941
706	117684	48771
707	117843	48601
708	118002	48432
709	118167	48265
710	118296	48083
711	118444	47910
712	118595	47737
713	118791	47583
714	118955	47415
715	119105	47243
716	119250	47068
717	119414	46900
718	119593	46739
719	119738	46564
720	119881	46389
721	120035	46218
722	120213	46056
723	120386	45893
724	120539	45721
725	120704	45555
726	120877	45391
727	121047	45226
728	121223	45064
729	121403	44902
730	121576	44738
731	121763	44579
732	121919	44410
733	122086	44243
734	122228	44068
735	122390	43901
736	122560	43735
737	122730	43571
738	122889	43402
739	123051	43234
740	123211	43065
741	123373	42897
742	123543	42732
743	123695	42561
744	123854	42393
745	124005	42221
746	124166	42053
747	124328	41886
748	124497	41720
749	124649	41549
750	124806	41380
751	124962	41210
752	125143	41049
753	125303	40881
754	125474	40716
755	125630	40547
756	125792	40379
757	125966	40216
758	126130	40049
759	126270	39874
760	126398	39696
761	126538	39522
762	126681	39349
763	126825	39176
764	127012	39017
765	127175	38849
766	127339	38683
767	127511	38519
768	127663	38348
769	127818	38179
770	127978	38011
771	128136	37843
772	128294	37675
773	128454	37507
774	128614	37339
775	128774	37171
776	128930	37003
777	129091	36835
778	129235	36663
779	129408	36499
780	129550	36327
781	129709	36159
782	129866	35991
783	130035	35826
784	130182	35655
785	130346	35488
786	130500	35319
787	130651	35149
788	130836	34989
789	130991	34820
790	131150	34652
791	131321	34488
792	131487	34322
793	131641	34153
794	131802	33986
795	131955	33817
796	132132	33654
797	132287	33486
798	132460	33322
799	132630	33157
800	132797	32992
801	132976	32829
802	133141	32663
803	133303	32496
804	133458	32328
805	133623	32162
806	133782	31994
807	133945	31828
808	134113	31663
809	134285	31499
810	134435	31329
811	134573	31157
812	134731	30989
813	134899	30824
814	135029	30650
815	135199	30486
816	135378	30323
817	135537	30156
818	135697	29989
819	135874	29826
820	136021	29656
821	136172	29487
822	136336	29321
823	136538	29163
824	136695	28996
825	136840	28826
826	136980	28654
827	137164	28493
828	137332	28327
829	137477	28158
830	137616	27986
831	137777	27820
832	137899	27646
833	138025	27472
834	138143	27297
835	138260	27122
836	138399	26952
837	138518	26778
838	138644	26605
839	138766	26431
840	138887	26258
841	139013	26085
842	139132	25911
843	139244	25737
844	139379	25566
845	139493	25392
846	139620	25220
847	139747	25049
848	139866	24876
849	139984	24703
850	140098	24529
851	140231	24359
852	140353	24187
853	140468	24014
854	140593	23843
855	140707	23670
856	140820	23497
857	140937	23325
858	141054	23153
859	141165	22980
860	141275	22807
861	141396	22636
862	141504	22463
863	141614	22291
864	141732	22120
865	141866	21951
866	141977	21779
867	142085	21607
868	142204	21437
869	142334	21268
870	142457	21098
871	142577	20928
872	142689	20757
873	142812	20588
874	142923	20417
875	143041	20247
876	143162	20078
877	143282	19909
878	143411	19741
879	143530	19572
880	143641	19402
881	143759	19233
882	143861	19061
883	143993	18895
884	144120	18727
885	144235	18558
886	144347	18389
887	144466	18221
888	144581	18052
889	144705	17884
890	144842	17719
891	144962	17551
892	145081	17383
893	145194	17215
894	145309	17047
895	145430	16880
896	145550	16713
897	145655	16544
898	145801	16380
899	145919	16213
900	146030	16045
901	146155	15879
902	146271	15712
903	146397	15546
904	146506	15379
10	139329	13611
911	139440	13454
912	139558	13298
913	139677	13142
914	139791	12986
915	139921	12831
916	140040	12675
917	140148	12518
918	140273	12363
919	140387	12207
920	140511	12052
921	140636	11897
922	140756	11742
923	140880	11587
924	141011	11433
925	141128	11278
926	141241	11122
927	141367	10968
928	141487	10813
929	141612	10658
930	141727	10503
931	141835	10348
932	141961	10194
933	142099	10041
934	142199	9885
935	142323	9731
936	142433	9576
937	142557	9422
938	142673	9268
939	142806	9115
940	142943	8962
941	143046	8807
942	143182	8654
943	143307	8501
944	143443	8348
945	143576	8195
946	143675	8040
947	143797	7887
948	143938	7735
949	144050	7581
950	144158	7427
951	144288	7275
952	144406	7121
953	144521	6968
954	144642	6815
955	144765	6662
956	144886	6510
957	144997	6356
958	145124	6204
959	145249	6052
960	145384	5900
961	145521	5748
962	145639	5595
963	145760	5443
964	145867	5290
965	145991	5138
966	146104	4985
967	146234	4834
968	146349	4681
969	146467	4529
970	146574	4377
46382	4216
972	146513	4065
973	146614	3913
39
976	144038	3390
977	144143	3242
978	144242	3094
979	144348	2945
980	144462	2797
981	144582	2650
982	144699	2502
983	144800	2354
984	144891	2206
985	145007	2058
986	145125	1911
987	145226	1763
988	145340	1616
989	145449	1469
990	145565	1321
991	145674	1174
992	145780	1027
993	145889	880
994	146011	733
995	146114	586
996	146213	439
997	146305	293
998	146411	146
999	146520	0
